,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H_bound_in,4,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 9, 3, 3, 3, 2]",2253,501091.88,5.336
B_in,4,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 9, 3, 3, 3, 2]",3009,6003110.67,5.336
Jx_det_out,4,"[2, 3, 3]","[1, 1]",8,2.25,5.345
Jy_det_out,4,"[2, 3, 3]","[1, 1]",8,2.25,5.345
Rx_out,4,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,5.358
Ry_out,4,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,5.358
Ox_out,4,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,5.414
Oy_out,4,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,5.414
ORx_out,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 2, 6, 6, 2]",266,38.98,5.427
ORy_out,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,5.427
ORJx_det_out,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 2, 6, 6, 2]",266,38.98,5.441
ORJy_det_out,4,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,5.441
Intg_bound_out,4,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 9, 3, 2]",468,85.47,5.613
H_bound_out,4,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 9, 3, 3, 3, 2]",639,5258.22,5.615
B_out,4,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 9, 3, 3, 3, 2]",639,5258.22,5.616
J,5,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 12, 4, 4, 4]",670,4.35,5.706
J_det,5,"[3, 3, 3, 3]","[3, 9, 3]",180,0.45,5.791
R,5,"[3, 3, 3, 3, 3, 3]","[3, 9, 23, 9, 3]",1422,0.51,5.82
dR,5,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,5.82
