,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
B_in,3,"[(4, 4), (8, 8), (8, 8), (7, 7), (12, 12), (7, 7), (7, 7)]","[6, 18, 18, 18, 18, 3]",93069,11929592.67,7.647
Jx_det_out,3,"[2, 5, 3]","[2, 3]",43,0.7,7.661
Jy_det_out,3,"[2, 5, 3]","[1, 1]",10,3.0,7.661
Rx_out,3,"[2, 5, 3, 3, 3]","[2, 8, 6, 2]",270,1.0,7.682
Ry_out,3,"[2, 5, 3, 3, 3]","[2, 6, 6, 3]",235,1.15,7.682
Ox_out,3,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,7.776
Oy_out,3,"[4, 8, 8, 2, 5, 3]","[4, 9, 2, 1, 1]",460,16.7,7.777
ORx_out,3,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 25, 16, 30, 18, 6, 2]",8042,8.59,7.799
ORy_out,3,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,7.799
ORJx_det_out,3,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 25, 16, 30, 18, 6, 2]",8042,8.59,7.823
ORJy_det_out,3,"[4, 8, 8, 2, 5, 3, 3, 3]","[4, 9, 2, 2, 6, 6, 3]",687,100.61,7.823
Intg_bound_out,3,"[(4, 1), (8, 1), (8, 1), (7, 7), (7, 7)]","[4, 17, 18, 3]",5801,105.96,8.145
H_bound_out,3,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 17, 18, 18, 18, 3]",11957,4318.07,8.152
B_out,3,"[(4, 1), (8, 1), (8, 1), (7, 1), (12, 1), (7, 7), (7, 7)]","[4, 17, 18, 18, 18, 3]",11957,4318.07,8.152
J,4,"[(5, 1), (5, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[2, 7, 3, 3, 3, 3]",236,34.32,8.397
J_det,4,"[5, 5, 3, 3]","[1, 2, 1]",24,9.38,8.634
