,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,5,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 12, 4, 4, 4]",670,4.35,5.855
J_det,5,"[3, 3, 3, 3]","[3, 9, 3]",180,0.45,5.94
R,5,"[3, 3, 3, 3, 3, 3]","[3, 9, 23, 9, 3]",1422,0.51,5.968
dR,5,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,5.969
J_detRT,5,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 24, 9, 3]",1476,0.49,5.976
JdR,5,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,5.987
Intg_int,5,"[(5, 5), (5, 5)]",[10],500,1.25,6.237
Intg_str,5,"[(5, 5), (5, 5), (2, 1)]","[19, 2]",1429,0.87,6.237
H,5,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 48]",5055,664.69,6.238
S,5,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 10]",898,1676258.35,6.239
F,5,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 10]",609,2471724.14,6.24
Jx_det_in,5,"[2, 3, 3]","[2, 3]",31,0.58,6.322
Jy_det_in,5,"[2, 3, 3]","[1, 1]",8,2.25,6.322
Rx_in,5,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,6.322
Ry_in,5,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,6.322
Ox_in,5,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,6.322
Oy_in,5,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,6.322
ORx_in,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,6.339
ORy_in,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,6.339
ORJx_det_in,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,6.355
ORJy_det_in,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,6.355
Intg_bound_in,5,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 12, 16, 12, 3]",3855,5976.65,6.608
H_bound_in,5,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",29471,38307.49,6.614
B_in,5,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",31391,575431.17,6.615
Jx_det_out,5,"[2, 3, 3]","[2, 3]",31,0.58,6.623
Jy_det_out,5,"[2, 3, 3]","[1, 1]",8,2.25,6.623
Rx_out,5,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,6.636
Ry_out,5,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,6.636
Ox_out,5,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,6.693
Oy_out,5,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,6.693
ORx_out,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,6.709
ORy_out,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,6.709
ORJx_det_out,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,6.726
ORJy_det_out,5,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,6.726
Intg_bound_out,5,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 10, 12, 3]",1631,24.52,6.971
H_bound_out,5,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",4367,769.41,6.974
B_out,5,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",4367,769.41,6.974
J,6,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 6, 4, 4, 4]",436,6.69,7.063
J_det,6,"[3, 3, 3, 3]","[3, 6, 3]",126,0.64,7.15
R,6,"[3, 3, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",666,1.09,7.178
dR,6,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 15, 12, 5, 2]",1249,1.17,7.178
